Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_002690.1,,"Johnson,K.L., Price,B.D., Ball,L.A.",2000-08-08T00:00:00Z,,Nodamura virus,Alphanodavirus,Nodaviridae,ssRNA(+),3204,RefSeq,complete,,RNA 1,1,,,,,,,,"Nodamura virus RNA1 segment, complete sequence"
NC_002691.1,,"Johnson,K.L., Price,B.D., Ball,L.A.",2000-08-08T00:00:00Z,,Nodamura virus,Alphanodavirus,Nodaviridae,ssRNA(+),1336,RefSeq,complete,,RNA 2,1,,,,,,,,"Nodamura virus RNA2, complete genome"
NC_002509.2,,"Jenner,C.E., Sanchez,F., Nettleship,S.B., Foster,G.D., Ponz,F., Walsh,J.A., Martinez-Herrera,D.",2000-08-01T00:00:00Z,,Turnip mosaic virus,Potyvirus,Potyviridae,ssRNA(+),9835,RefSeq,complete,,,1,,,,,,,,"Turnip mosaic virus, complete genome"
NC_002500.1,,"James,D., Jelkmann,W., Upton,C.",2000-07-20T00:00:00Z,,Cherry mottle leaf virus,Trichovirus,Betaflexiviridae,ssRNA(+),8018,RefSeq,complete,,,1,,,,Prunus avium,,,,"Cherry mottle leaf virus, complete genome"
NC_003988.1,,"Liu,Z., Donahue,R.E., Young,N.S., Brown,K.E.",2000-07-15T00:00:00Z,,Enterovirus H,Enterovirus,Picornaviridae,ssRNA(+),7374,RefSeq,complete,,,1,,,,,,,,"Simian enterovirus A, complete genome"
NC_002568.2,,"Ling,R., Pate,A.E., Carr,J.P., Firth,A.E., Roy Chowdhury,S., Savithri,H.S., Govind,K., Nair,S., Gayathri,P., Murthy,M.R., Satheshkumar,P.S., Prasad,K., Lokesh,G.L., Gopinath,K.",2000-07-07T00:00:00Z,,Sesbania mosaic virus,Sobemovirus,Solemoviridae,ssRNA(+),4148,RefSeq,complete,,,8,,,,,,,,"Sesbania mosaic virus, complete genome"
NC_003924.1,,"Wilson,J.E., Powell,M.J., Hoover,S.E., Sarnow,P.",2000-07-02T00:00:00Z,,Cricket paralysis virus,Cripavirus,Dicistroviridae,ssRNA(+),9185,RefSeq,complete,,,1,,,,,,,,"Cricket paralysis virus nonstructural polyprotein and structural polyprotein genes, complete cds"
NC_004210.1,,"Attoui,H., Mohd Jaafar,F., Belhouchet,M., Biagini,P., Cantaloube,J.F., de Micco,P., de Lamballerie,X., Billoir,F.",2000-06-27T00:00:00Z,JKT-7075,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,3774,RefSeq,complete,,,2,,,,,,,,"Kadipiro virus chromosome segment 1, complete genome"
NC_004211.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,JKT-6423,Banna virus,Seadornavirus,Reoviridae,dsRNA,3747,RefSeq,complete,,1,1,,,,,,,,"Banna virus strain JKT-6423 segment 1, complete sequence"
NC_004212.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,3035,RefSeq,complete,,,1,,,,,,,,"Kadipiro virus chromosome segment 2, complete genome"
NC_004213.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,2415,RefSeq,complete,,,1,,,,,,,,"Kadipiro virus chromosome segment 3, complete genome"
NC_004214.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,2121,RefSeq,complete,,,1,,,,,,,,"Kadipiro virus chromosome segment 4, complete genome"
NC_004215.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,1947,RefSeq,complete,,,1,,,,,,,,"Kadipiro virus chromosome segment 5, complete genome"
NC_004216.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Kadipiro virus,Seadornavirus,Reoviridae,dsRNA,1670,RefSeq,complete,,,1,,,,,,,,"Kadipiro virus chromosome segment 6, complete genome"
NC_004217.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Banna virus,Seadornavirus,Reoviridae,dsRNA,3048,RefSeq,complete,,2,1,,,,,,,,"Banna virus strain JKT-6423 segment 2, complete sequence"
NC_004218.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Banna virus,Seadornavirus,Reoviridae,dsRNA,2400,RefSeq,complete,,3,1,,,,,,,,"Banna virus strain JKT-6423 segment 3, complete sequence"
NC_004219.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Banna virus,Seadornavirus,Reoviridae,dsRNA,2038,RefSeq,complete,,4,1,,,,,,,,"Banna virus strain JKT-6423 segment 4, complete sequence"
NC_004220.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Banna virus,Seadornavirus,Reoviridae,dsRNA,1716,RefSeq,complete,,5,1,,,,,,,,"Banna virus strain JKT-6423 segment 5, complete sequence"
NC_004221.1,,"Attoui,H., Billoir,F., Biagini,P., de Micco,P., de Lamballerie,X.",2000-06-27T00:00:00Z,,Banna virus,Seadornavirus,Reoviridae,dsRNA,1671,RefSeq,complete,,6,1,,,,,,,,"Banna virus strain JKT-6423 segment 6, complete sequence"
NC_002468.1,,"Rott,M.E., Jelkmann,W.",2000-06-22T00:00:00Z,,Cherry necrotic rusty mottle virus,Robigovirus,Betaflexiviridae,ssRNA(+),8432,RefSeq,complete,,,,,,,,,,,"Cherry necrotic rusty mottle virus, complete genome"
NC_002358.1,,"Diao,A., Chen,J., Gitton,F., Antoniw,J.F., Mullins,J., Hall,A.M., Adams,M.J.",2000-06-15T00:00:00Z,,Oat golden stripe virus,Furovirus,Virgaviridae,ssRNA(+),7111,RefSeq,complete,,RNA 1,1,United Kingdom,United Kingdom,,Avena sativa,,,SAMEA3283056,Oat golden stripe virus RNA1 complete genome
NC_003690.1,,"Campbell,M.S., Pletnev,A.G.",2000-06-11T00:00:00Z,,Langat virus,Flavivirus,Flaviviridae,ssRNA(+),10943,RefSeq,complete,,,1,,,,,,,,"Langat virus, complete genome"
NC_002324.1,,"Toriyama,S., Kimishima,T., Takahashi,M., Shimizu,T., Minaka,N., Akutsu,K.",2000-06-05T00:00:00Z,IRRI,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,ssRNA(-),4056,RefSeq,complete,,RNA 2,1,,,,,,,,"Rice grassy stunt virus RNA 2, complete sequence"
NC_002325.1,,"Toriyama,S., Kimishima,T., Takahashi,M., Shimizu,T., Minaka,N., Akutsu,K.",2000-06-05T00:00:00Z,IRRI,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,ssRNA(-),3123,RefSeq,complete,,RNA 3,1,,,,,,,,"Rice grassy stunt virus RNA 3, complete sequence"
NC_002326.1,,"Toriyama,S., Kimishima,T., Takahashi,M., Shimizu,T., Minaka,N., Akutsu,K.",2000-06-05T00:00:00Z,IRRI,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,ssRNA(-),2915,RefSeq,complete,,RNA 4,1,,,,,,,,"Rice grassy stunt virus RNA 4, complete sequence"
NC_002327.1,,"Toriyama,S., Kimishima,T., Takahashi,M.",2000-06-05T00:00:00Z,,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,ssRNA(-),2704,RefSeq,complete,,RNA 5,1,,,,Oryza sativa,,,,"Rice grassy stunt virus RNA 5, complete sequence"
NC_002328.1,,"Toriyama,S., Kimishima,T., Takahashi,M.",2000-06-05T00:00:00Z,,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,ssRNA(-),2584,RefSeq,complete,,RNA 6,1,,,,Oryza sativa,,,,"Rice grassy stunt virus RNA 6, complete sequence"
NC_002728.1,,"Lo,M.K., Harcourt,B.H., Mungall,B.A., Tamin,A., Peeples,M.E., Bellini,W.J., Rota,P.A., Halpin,K., Ksiazek,T.G., Rollin,P.E., Chua,K.B., Lam,S.K., Zaki,S.R., Shieh,W., Goldsmith,C.S., Gubler,D.J., Roehrig,J.T., Eaton,B., Gould,A.R., Olson,J., Field,H., Daniels,P., Ling,A.E., Peters,C.J., Anderson,L.J., Mahy,B.W.",2000-06-01T00:00:00Z,,Nipah henipavirus,Henipavirus,Paramyxoviridae,ssRNA(-),18246,RefSeq,complete,,,3,,,,,,,,"Nipah virus, complete genome"
NC_003784.1,,"Leat,N., Ball,B., Govan,V., Davison,S.",2000-05-29T00:00:00Z,,Black queen cell virus,Triatovirus,Dicistroviridae,ssRNA(+),8550,RefSeq,complete,,,1,,,,Apis mellifera,,,,"Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds"
NC_003691.1,,"Johnson,K.N., Zeddam,J.L., Ball,L.A.",2000-05-24T00:00:00Z,,Pariacoto virus,Alphanodavirus,Nodaviridae,ssRNA(+),3011,RefSeq,complete,,,1,Peru,Peru,,,,,,"Pariacato virus chromosome RNA1, complete genome"
NC_003692.1,,"Johnson,K.N., Zeddam,J.L., Ball,L.A.",2000-05-24T00:00:00Z,,Pariacoto virus,Alphanodavirus,Nodaviridae,ssRNA(+),1311,RefSeq,complete,,,1,Peru,Peru,,,,,,"Pariacato virus chromosome RNA2, complete genome"
NC_002306.3,,"Haijema,B.J., de Groot-Mijnes,J.D.F., Vennema,H., Raamsman,M.J., Rottier,P.J.M., de Groot,R.J.",2000-05-11T00:00:00Z,79-1146,Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,ssRNA(+),29355,RefSeq,complete,2,,,USA,USA,,,,,,"Feline infectious peritonitis virus, complete genome"
NC_003725.1,,"Savenkov,E.I., Sandgren,M., Germundsson,A.",2000-05-11T00:00:00Z,"Swedish, (Sw)",Potato mop-top virus,Pomovirus,Virgaviridae,ssRNA(+),2964,RefSeq,complete,,RNA 2,,Sweden:Halland,Sweden,,Solanum tuberosum,,,,"Potato mop-top virus RNA 2, complete sequence"
NC_002251.1,,"Tanno,F., Nakatsu,A., Toriyama,S., Kojima,M.",2000-05-03T00:00:00Z,,Northern cereal mosaic cytorhabdovirus,Cytorhabdovirus,Rhabdoviridae,ssRNA(-),13222,RefSeq,complete,,,1,,,,,,,,"Northern cereal mosaic virus, complete genome"
NC_004014.1,,"Shirako,Y., Suzuki,N., French,R.C.",2000-04-21T00:00:00Z,,Sorghum chlorotic spot virus,Furovirus,Virgaviridae,ssRNA(+),6878,RefSeq,complete,,RNA 1,1,,,,,,,,"Sorghum chlorotic spot virus RNA 1, complete sequence"
NC_004015.1,,"Shirako,Y., Suzuki,N., French,R.C.",2000-04-21T00:00:00Z,,Sorghum chlorotic spot virus,Furovirus,Virgaviridae,ssRNA(+),3418,RefSeq,complete,,RNA 2,1,,,,,,,,"Sorghum chlorotic spot virus RNA 2, complete sequence"
NC_002201.1,,"Tobaly-Tapiero,J., Bittoun,P., Neves,M., Guillemin,M.C., Lecellier,C.H., Puvion-Dutilleul,F., Gicquel,B., Zientara,S., Giron,M.L., de The,H., Saib,A.",2000-04-20T00:00:00Z,,Equine foamy virus,Equispumavirus,Retroviridae,ssRNA-RT,12035,RefSeq,complete,,,1,,,,,,,,"Equine foamy virus, complete genome"
NC_002198.2,,"Beckett,R.J., Miller,W.A.",2000-04-12T00:00:00Z,,Cereal yellow dwarf virus RPS,Polerovirus,Solemoviridae,ssRNA(+),5662,RefSeq,complete,,,,,,,,,,,"Cereal yellow dwarf virus-RPS, complete genome"
NC_002199.1,,"Springfeld,C., von Messling,V., Tidona,C.A., Darai,G., Cattaneo,R., Kurz,H.W., Gelderblom,H.R., Gelderblom,H.",2000-04-12T00:00:00Z,,Tupaia narmovirus,Narmovirus,Paramyxoviridae,ssRNA(-),17904,RefSeq,complete,,,2,,,,,,,,"Tupaia paramyxovirus, complete genome"
NC_002200.1,,"Okazaki,K., Tanabayashi,K., Takeuchi,K., Hishiyama,M., Yamada,A.",2000-04-11T00:00:00Z,,Mumps orthorubulavirus,Orthorubulavirus,Paramyxoviridae,ssRNA(-),15384,RefSeq,complete,,,1,,,,,,,,"Mumps orthorubulavirus genomic RNA, complete genome"
NC_003299.1,,"Hoogstraten,D., Qiao,X., Sun,Y., Hu,A., Onodera,S., Mindich,L., Qiao,J.",2000-04-11T00:00:00Z,,Pseudomonas virus phi8,Cystovirus,Cystoviridae,dsRNA,7051,RefSeq,complete,,L,1,,,,Pseudomonas syringae,,,,"Pseudomonas phage phi8 segment L, complete sequence"
NC_003300.1,,"Hoogstraten,D., Qiao,X., Sun,Y., Hu,A., Onodera,S., Mindich,L.",2000-04-11T00:00:00Z,,Pseudomonas virus phi8,Cystovirus,Cystoviridae,dsRNA,4741,RefSeq,complete,,M,1,,,,Pseudomonas syringae,,,,"Pseudomonas phage phi8 segment M, complete sequence"
NC_003301.1,,"Hoogstraten,D., Qiao,X., Sun,Y., Hu,A., Onodera,S., Mindich,L., Qiao,J.",2000-04-11T00:00:00Z,,Pseudomonas virus phi8,Cystovirus,Cystoviridae,dsRNA,3192,RefSeq,complete,,S,1,,,,Pseudomonas syringae,,,,"Pseudomonas phage phi8 segment S, complete sequence"
NC_003836.1,,"Moreno,I.M., Bernal,J.J., Garcia de Blas,B., Rodriguez-Cerezo,E., Garcia-Arenal,F.",2000-04-07T00:00:00Z,,Tomato aspermy virus,Cucumovirus,Bromoviridae,ssRNA(+),2386,RefSeq,complete,,RNA 3,1,Australia,Australia,,,,,,"Tomato aspermy virus RNA 3, complete sequence"
NC_003724.1,,"Sandgren,M., Savenkov,E.I., Valkonen,J.P.",2000-04-04T00:00:00Z,,Potato mop-top virus,Pomovirus,Virgaviridae,ssRNA(+),3134,RefSeq,complete,,RNA 3,1,Sweden:Halland,Sweden,,,,,,"Potato mop-top virus RNA 3, complete sequence"
NC_003790.1,,"Imada,T., Yamaguchi,S., Mase,M., Tsukamoto,K., Kubo,M., Morooka,A.",2000-03-22T00:00:00Z,,Chicken astrovirus,Avastrovirus,Astroviridae,ssRNA(+),6927,RefSeq,complete,Avian nephritis virus 1,,1,,,,,,,,"Chicken astrovirus, complete genome"
NC_002187.1,,"Takemoto,Y., Kanehira,T., Shinohara,M., Yamashita,S., Hibi,T.",2000-03-17T00:00:00Z,,Japanese iris necrotic ring virus,Betacarmovirus,Tombusviridae,ssRNA(+),4014,RefSeq,complete,,,1,,,,Iris ensata,,,,"Japanese iris necrotic ring virus, complete genome"
NC_003608.1,,"Huang,M., Koh,D.C., Weng,L.J., Chang,M.L., Yap,Y.K., Zhang,L., Wong,S.M., Weng,L.",2000-03-17T00:00:00Z,,Hibiscus chlorotic ringspot virus,Betacarmovirus,Tombusviridae,ssRNA(+),3911,RefSeq,complete,,,1,,,,,,,,"Hibiscus chlorotic ringspot virus, complete genome"
NC_003802.1,,"Strauss,E.E., Lakshman,D.K., Tavantzis,S.M.",2000-03-09T00:00:00Z,,Rhizoctonia solani virus 717,Betapartitivirus,Partitiviridae,dsRNA,2206,RefSeq,complete,,RNA 2,1,,,,,,,,"Rhizoctonia solani virus RNA2, complete sequence"
NC_003874.1,,"Rehfeldt,K., Schmitt,M.J.",2000-03-02T00:00:00Z,,Zygosaccharomyces bailii virus Z,Zybavirus,Amalgaviridae,dsRNA,3157,RefSeq,complete,,,,,,,,,,,"Zygosaccharomyces bailii virus Z, complete genome"
NC_004010.1,,"Oruetxebarria,I., Kekarainen,T., Spetz,C., Valkonen,J.P.",2000-02-21T00:00:00Z,DV 42,Potato virus V,Potyvirus,Potyviridae,ssRNA(+),9848,RefSeq,complete,,,1,United Kingdom:Scotland,United Kingdom,,,,,,"Potato virus V, complete genome"
NC_003787.1,,"Li,C., Yoshikawa,N., Takahashi,T., Ito,T., Yoshida,K., Koganezawa,H.",2000-02-18T00:00:00Z,,Apple latent spherical virus,Cheravirus,Secoviridae,ssRNA(+),6812,RefSeq,complete,,RNA 1,1,,,,,,,,"Apple latent spherical virus segment 1, complete sequence"
NC_003788.1,,"Li,C., Yoshikawa,N., Takahashi,T., Ito,T., Yoshida,K., Koganezawa,H.",2000-02-18T00:00:00Z,,Apple latent spherical virus,Cheravirus,Secoviridae,ssRNA(+),3384,RefSeq,complete,,RNA 2,1,,,,,,,,"Apple latent spherical virus segment 2, complete sequence"
NC_003873.1,,"Bessarab,I.N., Liu,H.W., Ip,C.F., Tai,J.H., Tai,J.-H.",2000-02-02T00:00:00Z,,Trichomonas vaginalis virus 2,Trichomonasvirus,Totiviridae,dsRNA,4674,RefSeq,complete,,,1,,,,Trichomonas vaginalis,,,,"Trichomonas vaginalis virus II, complete genome"
NC_002164.1,,"Bradel,B.G., Preil,W., Jeske,H.",2000-01-28T00:00:00Z,,Poinsettia mosaic virus,,Tymoviridae,ssRNA(+),6099,RefSeq,complete,,,1,,,,,,,,"Poinsettia mosaic virus, complete genome"
NC_002161.1,,"Bailly,J.E., McAuliffe,J.M., Skiadopoulos,M.H., Collins,P.L., Murphy,B.R.",2000-01-27T00:00:00Z,,Bovine respirovirus 3,Respirovirus,Paramyxoviridae,ssRNA(-),15456,RefSeq,complete,,,1,,,,,,,,"Bovine parainfluenza virus 3, complete genome"
NC_003908.1,,"Netolitzky,D.J., Schmaltz,F.L., Parker,M.D., Rayner,G.A., Fisher,G.R., Trent,D.W., Bader,D.E., Nagata,L.P.",2000-01-27T00:00:00Z,,Western equine encephalitis virus,Alphavirus,Togaviridae,ssRNA(+),11484,RefSeq,complete,,,1,,,,,,,,"Western equine encephalomyelitis virus, complete genome"
NC_002160.2,,"Beckett,R.J., Miller,W.A.",2000-01-19T00:00:00Z,,Barley yellow dwarf virus PAS,Luteovirus,Tombusviridae,ssRNA(+),5695,RefSeq,complete,PAV-129,,,,,,,,,,"Barley yellow dwarf virus-PAS, complete genome"
NC_001278.1,,"Preisig,O., Moleleki,N., Smit,W.A., Wingfield,B.D., Wingfield,M.J.",2000-01-04T00:00:00Z,,Diaporthe ambigua RNA virus 1,,,ssRNA(+),4113,RefSeq,complete,,,1,,,,,,,,"Diaporthe ambigua RNA virus 1, complete genome"
NC_003801.1,,"Strauss,E.E., Lakshman,D.K., Tavantzis,S.M.",2000-01-01T00:00:00Z,,Rhizoctonia solani virus 717,Betapartitivirus,Partitiviridae,dsRNA,2363,RefSeq,complete,,RNA 1,1,,,,,,,,"Rhizoctonia solani virus 717 RNA1, complete genome"
NC_001265.2,,"Guilley,H., Carrington,J.C., Balazs,E., Jonard,G., Richards,K., Morris,T.J.",1999-12-07T00:00:00Z,,Carnation mottle virus,Alphacarmovirus,Tombusviridae,ssRNA(+),4003,RefSeq,complete,,,1,,,,,,,,Carnation mottle virus (CarMV) complete genomic RNA sequence
NC_000960.1,,"Smart,C.D., Yuan,W., Foglia,R., Nuss,D.L., Fulbright,D.W., Hillman,B.I.",1999-11-29T00:00:00Z,CHV3-GH2 (WY),Cryphonectria hypovirus 3,Hypovirus,Hypoviridae,ssRNA(+),9799,RefSeq,complete,,,1,,,,,,,,"Cryphonectria hypovirus 3, complete genome"
NC_002588.1,,"Bernal,J.J., Jimenez,I., Moreno,M., Hord,M., Rivera,C., Koenig,R., Rodriguez-Cerezo,E., Moreira,L.",1999-11-21T00:00:00Z,,Chayote mosaic virus,Tymovirus,Tymoviridae,ssRNA(+),6364,RefSeq,complete,,,1,,,,Sechium edule,,,,"Chayote mosaic virus, complete genome"
NC_003378.1,,"Lockhart,B.E., Menke,J., Dahal,G., Olszewski,N.E., Olszewski,N.",1999-11-15T00:00:00Z,,Tobacco vein clearing virus,Solendovirus,Caulimoviridae,dsDNA-RT,7767,RefSeq,complete,,,1,,,,Nicotiana x edwardsonii,,,,"Tobacco vein clearing virus, complete genome"
NC_002205.1,,"Hiromoto,Y., Saito,T., Lindstrom,S.E., Li,Y., Nerome,R., Sugita,S., Shinjoh,M., Nerome,K.",1999-11-10T00:00:00Z,,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,ssRNA(-),2313,RefSeq,complete,,2,1,,,,,,,,"Influenza B virus (B/Lee/1940) segment 2, complete sequence"
NC_002206.1,,"Hiromoto,Y., Saito,T., Lindstrom,S.E., Li,Y., Nerome,R., Sugita,S., Shinjoh,M., Nerome,K.",1999-11-10T00:00:00Z,,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,ssRNA(-),2204,RefSeq,complete,,3,1,,,,,,,,"Influenza B virus (B/Lee/1940) segment 3, complete sequence"
NC_000947.1,,"Fuji,S., Nakamae,H.",1999-11-09T00:00:00Z,,Japanese yam mosaic virus,Potyvirus,Potyviridae,ssRNA(+),9760,RefSeq,complete,,,1,,,,,,,,"Japanese yam mosaic virus, complete genome"
NC_000943.1,,"Melian,E.B., Hinzman,E., Nagasaki,T., Firth,A.E., Wills,N.M., Nouwens,A.S., Blitvich,B.J., Leung,J., Funk,A., Atkins,J.F., Hall,R., Khromykh,A.A., Hurrelbrink,R.J., Nestorowicz,A., McMinn,P.C., Lee,E., Fernon,C., Simpson,R., Weir,R.C., Rice,C.M., Dalgarno,L.",1999-11-02T00:00:00Z,,Murray Valley encephalitis virus,Flavivirus,Flaviviridae,ssRNA(+),11014,RefSeq,complete,,,3,,,,,,,,"Murray Valley encephalitis virus, complete genome"
NC_000940.1,,"Guo,M., Chang,K.O., Hardy,M.E., Zhang,Q., Parwani,A.V., Saif,L.J.",1999-10-31T00:00:00Z,,Sapporo virus,Sapovirus,Caliciviridae,ssRNA(+),7320,RefSeq,complete,,,1,,,,,,,,"Porcine enteric sapovirus, complete genome"
NC_000939.2,,"Rubino,L., Russo,M., Martelli,G.P.",1999-10-28T00:00:00Z,,Pothos latent virus,Aureusvirus,Tombusviridae,ssRNA(+),4415,RefSeq,complete,,,1,,,,,,,,"Pothos latent virus genes for replicase, capsid protein and movement protein"
NC_003678.1,,"Avalos-Ramirez,R., Orlich,M., Thiel,H.J., Becher,P., Kosmidou,A., Konig,M., Baroth,M., Thiel,H.-J.",1999-10-16T00:00:00Z,giraffe-1 H138,Pestivirus G,Pestivirus,Flaviviridae,ssRNA(+),12602,RefSeq,complete,,,2,,,,Giraffa camelopardalis,,,,Pestivirus giraffe-1 H138 complete genome
NC_003723.1,,"Savenkov,E.I., Sandgren,M., Valkonen,J.P.",1999-10-15T00:00:00Z,Swedish (Sw),Potato mop-top virus,Pomovirus,Virgaviridae,ssRNA(+),6043,RefSeq,complete,,RNA 1,1,Sweden,Sweden,,,,,,"Potato mop-top virus RNA 1, complete sequence"
NC_002330.1,,"Diao,A., Chen,J., Gitton,F., Antoniw,J.F., Mullins,J., Hall,A.M., Adams,M.J.",1999-10-08T00:00:00Z,,Soil-borne cereal mosaic virus,Furovirus,Virgaviridae,ssRNA(+),3683,RefSeq,complete,,RNA 2,1,France,France,,Triticum aestivum,,,SAMEA3283056,"Soil-borne cereal mosaic virus RNA 2, complete sequence"
NC_002357.1,,"Diao,A., Chen,J., Gitton,F., Antoniw,J.F., Mullins,J., Hall,A.M., Adams,M.J.",1999-10-08T00:00:00Z,,Oat golden stripe virus,Furovirus,Virgaviridae,ssRNA(+),3232,RefSeq,complete,,RNA 2,1,United Kingdom,United Kingdom,,Avena sativa,,,SAMEA3283056,"Oat golden stripe virus RNA 2, complete sequence"
NC_001655.1,,"Bukh,J., Apgar,C.L., Yanagi,M.",1999-10-07T00:00:00Z,,Hepacivirus B,Hepacivirus,Flaviviridae,ssRNA(+),9399,RefSeq,complete,,,1,,,,,,,,"Hepatitis GB virus B, complete genome"
NC_003783.1,,"Czibener,C., La Torre,J.L., Muscio,O.A., Ugalde,R.A., Scodeller,E.A.",1999-10-01T00:00:00Z,,Triatoma virus,Triatovirus,Dicistroviridae,ssRNA(+),9010,RefSeq,complete,,,1,,,,Triatoma infestans,,,,"Triatoma virus nonstructural protein precursor and capsid protein precursor, genes, partial cds"
NC_000903.1,,"Johnson,M.C., Bell,R.H., Leong,J.C.",1999-09-29T00:00:00Z,,Snakehead novirhabdovirus,Novirhabdovirus,Rhabdoviridae,ssRNA(-),11550,RefSeq,complete,,,,,,,Channa striata,,,,Snakehead rhabdovirus complete genome
NC_002351.1,,"Diao,A., Chen,J., Gitton,F., Antoniw,J.F., Mullins,J., Hall,A.M., Adams,M.J.",1999-09-26T00:00:00Z,,Soil-borne cereal mosaic virus,Furovirus,Virgaviridae,ssRNA(+),7025,RefSeq,complete,,RNA 1,1,France,France,,Triticum aestivum,,,SAMEA3283056,Soil-borne cereal mosaic virus RNA1 complete genome
NC_003464.1,,"Shiel,P.J., Berger,P.H.",1999-09-19T00:00:00Z,,Apple mosaic virus,Ilarvirus,Bromoviridae,ssRNA(+),3476,RefSeq,complete,,RNA 1,1,,,,,,,,"Apple mosaic virus RNA 1 putative methyltransferase/helicase gene, complete cds"
NC_003465.1,,"Shiel,P.J., Berger,P.H.",1999-09-19T00:00:00Z,,Apple mosaic virus,Ilarvirus,Bromoviridae,ssRNA(+),2979,RefSeq,complete,,RNA 2,1,,,,,,,,"Apple mosaic virus RNA 2 putative polymerase gene, complete cds"
NC_003243.1,,"Gould,A.R., Kattenbelt,J.A., Gumley,S.G., Lunt,R.A., Hyatt,A.D.",1999-08-10T00:00:00Z,insectivorous isolate,Australian bat lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),11822,RefSeq,complete,,,1,,,,,,,,"Australian bat lyssavirus, complete genome"
NC_003805.1,,"Visser,P.B., Bol,J.F.",1999-08-10T00:00:00Z,PpK20,Tobacco rattle virus,Tobravirus,Virgaviridae,ssRNA(+),6791,RefSeq,complete,,RNA 1,,,,,,,,,"Tobacco rattle virus RNA 1, complete sequence"
NC_000874.1,,"Moonan,F., Molina,J., Mirkov,T.E., Molina,J.J.",1999-07-28T00:00:00Z,,Sugarcane yellow leaf virus,Polerovirus,Solemoviridae,ssRNA(+),5899,RefSeq,complete,,,1,USA: Florida,USA,FL,Saccharum,,,,Sugarcane yellow leaf virus complete genome
NC_003224.1,,"Lin,S.-S., Hou,R.F., Yeh,S.-D.",1999-07-20T00:00:00Z,TW-TN3,Zucchini yellow mosaic virus,Potyvirus,Potyviridae,ssRNA(+),9591,RefSeq,complete,,,,Taiwan: Tainan,Taiwan,,Luffa aegyptiaca,,,,"Zucchini yellow mosaic virus, complete genome"
NC_000858.1,,"Saksena,N.K., Herve,V., Sherman,M.P., Durand,J.P., Mathiot,C., Muller,M., Love,J.L., LeGuenno,B., Sinoussi,F.B., Dube,D.K., Poiesz,B.J., Dube,S., Leon-Ponte,M., de Perez,G.E., Baroja,M.L., Bianco,N.",1999-06-20T00:00:00Z,Tan90,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae,ssRNA-RT,9028,RefSeq,complete,,,1,Central African Republic,Central African Republic,,,,,,"Simian T-lymphotropic virus 1, complete genome"
NC_000855.1,,"Schutze,H., Mundt,E., Mettenleiter,T.C., Schuetze,H.",1999-06-09T00:00:00Z,,Piscine novirhabdovirus,Novirhabdovirus,Rhabdoviridae,ssRNA(-),11158,RefSeq,complete,,,1,,,,,,,,"Viral hemorrhagic septicemia virus Fil3, complete genome"
