Accession,Species,Genus,Family
NC_025961.1,Cosavirus JMY-2014,Cosavirus,Picornaviridae
NC_076525.1,Duamitovirus peex1,Duamitovirus,Mitoviridae
NC_032257.1,Hudovirus lepidopteris,Hudovirus,Phenuiviridae
NC_078300.1,Phlebovirus penshurtense,Phlebovirus,Phenuiviridae
NC_075412.1,Hollyhock yellow vein mosaic virus,Begomovirus,Geminiviridae
NC_033818.1,Kunsagivirus B,Kunsagivirus,Picornaviridae
NC_008911.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_038667.1,Nelson Bay orthoreovirus,Orthoreovirus,Spinareoviridae
NC_076341.1,Gemycircularvirus haeme1,Gemycircularvirus,Genomoviridae
NC_004558.1,Tomato leaf curl Gujarat virus,Begomovirus,Geminiviridae
NC_013094.1,Faba bean necrotic stunt virus,Nanovirus,Nanoviridae
NC_033787.1,Orbivirus SX-2017a,Orbivirus,Sedoreoviridae
NC_005267.1,Nepovirus rubi,Nepovirus,Secoviridae
NC_023548.1,Caroctavirus CR8,Caroctavirus,Autographiviridae
NC_023989.1,Sugarcane white streak virus,Mastrevirus,Geminiviridae
NC_021065.1,Sunflower mild mosaic virus,Potyvirus,Potyviridae
NC_026768.1,Alphapolyomavirus dobsoniae,Alphapolyomavirus,Polyomaviridae
NC_011532.1,Cytorhabdovirus lactucamaculante,Cytorhabdovirus,Rhabdoviridae
NC_025482.1,Cassava Ivorian bacilliform virus,Anulavirus,Bromoviridae
NC_007819.1,Alphatrevirus ID32,Alphatrevirus,Microviridae
NC_023676.1,Iflavirus betaspexiguae,Iflavirus,Iflaviridae
NC_074351.1,Gulmivirus arvihabitans,Gulmivirus,Steitzviridae
NC_074117.1,Thiwvovirus asienecus,Thiwvovirus,Fiersviridae
NC_010587.1,Aquareovirus G,Aquareovirus,Spinareoviridae
NC_073929.1,Darnbovirus asiadaptatum,Darnbovirus,Fiersviridae
NC_001563.2,Orthoflavivirus nilense,Orthoflavivirus,Flaviviridae
NC_017000.1,Macroptilium yellow vein virus,Begomovirus,Geminiviridae
NC_000872.1,Moineauvirus Sfi21,Moineauvirus,Aliceevansviridae
NC_006019.1,African horse sickness virus,Orbivirus,Sedoreoviridae
NC_025844.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_079126.1,Varicosavirus zosterae,Varicosavirus,Rhabdoviridae
NC_055501.1,Areca palm necrotic ringspot virus,Arepavirus,Potyviridae
NC_026732.1,Sclerotimonavirus sclerotiniae,Sclerotimonavirus,Mymonaviridae
NC_078245.1,Phlebovirus corfouense,Phlebovirus,Phenuiviridae
NC_021569.1,Subteminivirus SMA7,Subteminivirus,Inoviridae
NC_022802.1,Sakobuvirus A,Sakobuvirus,Picornaviridae
NC_076883.1,Potyvirus mirabilis,Potyvirus,Potyviridae
NC_020068.1,Alphapolyomavirus eidoli,Alphapolyomavirus,Polyomaviridae
NC_027137.1,Mammarenavirus okahandjaense,Mammarenavirus,Arenaviridae
NC_055349.1,Phlebovirus ixcanalense,Phlebovirus,Phenuiviridae
NC_039025.1,Eastern chimpanzee simian foamy virus,Simiispumavirus,Retroviridae
NC_074180.1,Dehkhevirus borboradaptatum,Dehkhevirus,Blumeviridae
NC_031283.1,Alphadrosrhavirus hubei,Alphadrosrhavirus,Rhabdoviridae
NC_047874.1,Ghunavirus Pf1ERZ2017,Ghunavirus,Autographiviridae
NC_054906.1,Tequatrovirus RB18,Tequatrovirus,Straboviridae
NC_027999.1,Paraiso Escondido virus,Flavivirus,Flaviviridae
NC_007658.1,Yunnan orbivirus,Orbivirus,Sedoreoviridae
NC_025492.1,Fako virus,Dinovernavirus,Spinareoviridae
NC_010812.1,Ageratum yellow vein Hualian virus,Begomovirus,Geminiviridae
NC_078668.1,Emaravirus chrysanthemi,Emaravirus,Fimoviridae
NC_076671.1,Duamitovirus rhso26,Duamitovirus,Mitoviridae
NC_076272.1,Gemyduguivirus macra1,Gemyduguivirus,Genomoviridae
NC_031338.1,Moku virus,Iflavirus,Iflaviridae
NC_077668.1,Orthohantavirus puumalaense,Orthohantavirus,Hantaviridae
NC_020805.1,Vesiculovirus chandipura,Vesiculovirus,Rhabdoviridae
NC_001515.2,Alphapolyomavirus muris,Alphapolyomavirus,Polyomaviridae
NC_055887.1,Hacihdavirus animalis,Hacihdavirus,Intestiviridae
NC_055510.1,Dianlovirus menglaense,Dianlovirus,Filoviridae
NC_038443.1,Chino del tomate Amazonas virus,Begomovirus,Geminiviridae
NC_043508.1,Alphachrysovirus perseae,Alphachrysovirus,Chrysoviridae
NC_034528.1,Orthohantavirus delgaditoense,Orthohantavirus,Hantaviridae
NC_038357.1,Gammatorquevirus homidi10,Gammatorquevirus,Anelloviridae
NC_005138.1,Lily symptomless virus,Carlavirus,Betaflexiviridae
NC_028800.1,Przondovirus K5,Przondovirus,Autographiviridae
NC_003822.1,Tobacco yellow dwarf virus,Mastrevirus,Geminiviridae
NC_028261.1,Mivirus dermacentoris,Mivirus,Chuviridae
NC_006296.2,Morbillivirus pecoris,Morbillivirus,Paramyxoviridae
NC_042122.1,Eclunavirus EcL1,Eclunavirus,Drexlerviridae
NC_003689.1,Cherry virus A,Capillovirus,Betaflexiviridae
NC_074278.1,Bicehmovirus pelenecus,Bicehmovirus,Steitzviridae
NC_055564.1,Umbravirus patriniae,Umbravirus,Tombusviridae
NC_034467.1,Orthohantavirus fugongense,Orthohantavirus,Hantaviridae
NC_039186.1,Orthobunyavirus wyeomyiae,Orthobunyavirus,Peribunyaviridae
NC_034375.1,Cassava virus X,Potexvirus,Alphaflexiviridae
NC_043426.1,Kirsten murine sarcoma virus,Gammaretrovirus,Retroviridae
NC_033754.1,Yingvirus xinzhouense,Yingvirus,Qinviridae
NC_034566.1,Orthohantavirus maporalense,Orthohantavirus,Hantaviridae
NC_033490.1,Yingvirus wuhanense,Yingvirus,Qinviridae
NC_028475.1,Duamitovirus scsc3,Duamitovirus,Mitoviridae
NC_076777.1,Scleroulivirus gammaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_009243.1,Rice gall dwarf virus,Phytoreovirus,Sedoreoviridae
NC_003557.1,Shallot latent virus,Carlavirus,Betaflexiviridae
NC_002018.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_012787.1,Passionfruit severe leaf distortion virus,Begomovirus,Geminiviridae
NC_078261.1,Mobatvirus xuansonense,Mobatvirus,Hantaviridae
NC_040514.1,Orthonairovirus bushkeyense,Orthonairovirus,Nairoviridae
NC_078579.1,Orthodiscovirus missouriense,Orthodiscovirus,Discoviridae
NC_015886.1,Baboon orthoreovirus,Orthoreovirus,Spinareoviridae
NC_078062.1,Bandavirus heartlandense,Bandavirus,Phenuiviridae
NC_038879.1,Eupatorium yellow vein mosaic virus,Begomovirus,Geminiviridae
NC_004904.1,Tomato begomovirus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_074142.1,Yuhrihovirus borborovicinum,Yuhrihovirus,Fiersviridae
NC_014646.1,Cleome leaf crumple alphasatellite,Clecrusatellite,Alphasatellitidae
NC_030653.1,Pestivirus scrofae,Pestivirus,Flaviviridae
NC_040576.1,Circovirus mossi,Circovirus,Circoviridae
NC_076275.1,Gemykolovirus poaspe1,Gemykolovirus,Genomoviridae
NC_077216.1,Pepper yellows virus,Polerovirus,Solemoviridae
NC_001716.2,Roseolovirus humanbeta7,Roseolovirus,Orthoherpesviridae
NC_077133.1,robinz virus RP_526,Cyclovirus,Circoviridae
NC_073766.1,Bahdevuvirus caenivivens,Bahdevuvirus,Atkinsviridae
NC_025417.1,Kayvirus G1,Kayvirus,Herelleviridae
NC_007815.2,Murine leukemia-related retroviruses,Gammaretrovirus,Retroviridae
NC_043542.1,Britarnavirus 2,Sogarnavirus,Marnaviridae
NC_038304.1,Avisivirus A,Avisivirus,Picornaviridae
NC_006508.1,Thogotovirus thogotoense,Thogotovirus,Orthomyxoviridae
NC_078470.1,Horwuvirus fitzroyense,Horwuvirus,Phenuiviridae
NC_010648.1,Macroptilium yellow mosaic virus,Begomovirus,Geminiviridae
NC_070724.1,Streptococcus phage SWK6,Moineauvirus,Aliceevansviridae
NC_038281.1,Sigmavirus melanogaster,Sigmavirus,Rhabdoviridae
NC_075724.1,Sapporo virus,Sapovirus,Caliciviridae
NC_075689.1,Varicellovirus suidalpha1,Varicellovirus,Orthoherpesviridae
NC_004036.1,Caulimovirus tessellomirabilis,Caulimovirus,Caulimoviridae
NC_042313.1,Mycobacterium virus JoeDirt,Bronvirus,Vilmaviridae
NC_034220.1,Alphapolyomavirus mischreibersii,Alphapolyomavirus,Polyomaviridae
NC_055892.1,Buchavirus splanchnicus,Buchavirus,Suoliviridae
NC_034388.1,Orthonairovirus keterehense,Orthonairovirus,Nairoviridae
NC_062779.1,Junduvirus communis,Junduvirus,Crevaviridae
NC_073812.1,Mitdiwavirus asiocola,Mitdiwavirus,Atkinsviridae
NC_005302.1,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae
NC_002185.1,Moineauvirus mv7201,Moineauvirus,Aliceevansviridae
NC_055219.1,Betachrysovirus fugramineari,Betachrysovirus,Chrysoviridae
NC_055233.1,Rhadinovirus muridgamma7,Rhadinovirus,Orthoherpesviridae
NC_005049.1,Tobacco leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_020809.1,Lyssavirus irkut,Lyssavirus,Rhabdoviridae
NC_034562.1,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae
NC_002323.1,Tenuivirus oryzabrevis,Tenuivirus,Phenuiviridae
NC_043277.1,Bracoviriform flavipedis,Bracoviriform,Polydnaviriformidae
NC_012118.1,Pedilanthus leaf curl virus,Begomovirus,Geminiviridae
NC_025853.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_055178.1,Orthotospovirus glycininecrovenae,Orthotospovirus,Tospoviridae
NC_043616.1,Orthobunyavirus shermanense,Orthobunyavirus,Peribunyaviridae
NC_055889.1,Blohavirus americanus,Blohavirus,Suoliviridae
NC_034496.1,Orthobunyavirus maritubaense,Orthobunyavirus,Peribunyaviridae
NC_047942.1,Teseptimavirus ebrios,Teseptimavirus,Autographiviridae
NC_003604.2,Grapevine virus A,Vitivirus,Betaflexiviridae
NC_008040.1,Redspotted grouper nervous necrosis virus,Betanodavirus,Nodaviridae
NC_027924.1,Caulimovirus maculatractylodei,Caulimovirus,Caulimoviridae
NC_029906.1,Barley virus G,Polerovirus,Solemoviridae
NC_076413.1,Chaphamaparvovirus galliform4,Chaphamaparvovirus,Parvoviridae
NC_043433.1,Sweet potato golden vein Korea virus,Begomovirus,Geminiviridae
NC_070696.1,Streptococcus phage P7133,Moineauvirus,Aliceevansviridae
NC_040405.1,Bat rotavirus,Rotavirus,Sedoreoviridae
NC_004012.1,Garlic virus E,Allexivirus,Alphaflexiviridae
NC_076596.1,Epsilonhypovirus agarici,Epsilonhypovirus,Hypoviridae
NC_014072.1,Etatorquevirus felid1,Etatorquevirus,Anelloviridae
NC_016997.1,Donggang virus,Flavivirus,Flaviviridae
NC_038306.1,Enterovirus A,Enterovirus,Picornaviridae
NC_070912.1,Burkholderia phage PhiBP82.2,Tigrvirus,Peduoviridae
NC_076594.1,Alphafusarivirus portobelli,Alphafusarivirus,Fusariviridae
NC_075441.1,Hoplichthysvirus hoplichthysis,Hoplichthysvirus,Paramyxoviridae
NC_033706.1,Solanum nodiflorum mottle virus,Sobemovirus,Solemoviridae
NC_076774.1,Scleroulivirus alphaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_038523.1,Gammapapillomavirus 22,Gammapapillomavirus,Papillomaviridae
NC_074005.1,Mihkrovirus pelocola,Mihkrovirus,Fiersviridae
NC_055317.1,Phlebovirus turunaense,Phlebovirus,Phenuiviridae
NC_075315.1,Gemycircularvirus alces2,Gemycircularvirus,Genomoviridae
NC_043284.1,Bracoviriform flavipedis,Bracoviriform,Polydnaviriformidae
NC_055476.1,Malvastrum yellow vein Lahore virus,Begomovirus,Geminiviridae
NC_001369.1,Pepper huasteco yellow vein virus,Begomovirus,Geminiviridae
NC_038330.1,Tymovirus desmodii,Tymovirus,Tymoviridae
NC_043699.1,Orthobunyavirus shuniense,Orthobunyavirus,Peribunyaviridae
NC_027915.1,Waikavirus campanulae,Waikavirus,Secoviridae
NC_034554.1,Orthonairovirus sakhalinense,Orthonairovirus,Nairoviridae
NC_001467.1,African cassava mosaic virus,Begomovirus,Geminiviridae
NC_038505.1,Orthohantavirus negraense,Orthohantavirus,Hantaviridae
NC_015939.1,Sclerotinia sclerotiorum hypovirus 1,Hypovirus,Hypoviridae
NC_034451.1,Ledantevirus kern,Ledantevirus,Rhabdoviridae
NC_078392.1,Blunervirus solani,Blunervirus,Kitaviridae
NC_038287.1,Vesiculovirus radi,Vesiculovirus,Rhabdoviridae
NC_073831.1,Rainacovirus pelenecus,Rainacovirus,Atkinsviridae
NC_048866.1,Epseptimavirus bombadil,Epseptimavirus,Demerecviridae
NC_073765.1,Arihsbuvirus caenadaptatum,Arihsbuvirus,Atkinsviridae
NC_034499.1,Orthobunyavirus kaengkhoiense,Orthobunyavirus,Peribunyaviridae
NC_053000.1,Chivirus SeWh1,Chivirus,Casjensviridae
NC_052991.1,Chivirus KpYy141,Chivirus,Casjensviridae
NC_025962.1,Psittacine atadenovirus A,Atadenovirus,Adenoviridae
NC_076659.1,Alphahypovirus fusarii,Alphahypovirus,Hypoviridae
NC_031306.1,Synedrella leaf curl virus,Begomovirus,Geminiviridae
NC_029995.1,Tomato yellow leaf curl Shuangbai virus,Begomovirus,Geminiviridae
NC_026664.1,Alphatorquevirus cerco5,Alphatorquevirus,Anelloviridae
NC_055464.1,Croton golden mosaic virus,Begomovirus,Geminiviridae
NC_055840.1,Oliverunavirus OLIVR1,Oliverunavirus,Schitoviridae
NC_009001.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_076118.1,Malvastrum yellow vein Yunnan virus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_024304.1,Solanum mosaic Bolivia virus,Begomovirus,Geminiviridae
NC_054894.1,Henuseptimavirus henu7,Henuseptimavirus,Drexlerviridae
NC_078406.1,Rubodvirus armeniaense,Rubodvirus,Phenuiviridae
NC_038588.1,Eubenangee virus,Orbivirus,Sedoreoviridae
NC_039233.1,Vernonia yellow vein Fujian alphasatellite,Gosmusatellite,Alphasatellitidae
NC_021483.1,Gammapapillomavirus 11,Gammapapillomavirus,Papillomaviridae
NC_001490.1,Rhinovirus B,Enterovirus,Picornaviridae
NC_012909.1,Lettuce chlorosis virus,Crinivirus,Closteroviridae
NC_043408.1,Orthohantavirus necocliense,Orthohantavirus,Hantaviridae
NC_078772.1,Thogotovirus sinuense,Thogotovirus,Orthomyxoviridae
NC_011317.1,Brevihamaparvovirus dipteran1,Brevihamaparvovirus,Parvoviridae
NC_031235.1,Bristolvirus rhodeisland,Bristolvirus,Kyanoviridae
NC_074638.1,Kisinvirus pescaderoense,Kisinvirus,Ahpuchviridae
NC_034270.1,Betachrysovirus botryosphaeriae,Betachrysovirus,Chrysoviridae
NC_026247.1,Mammarenavirus gairoense,Mammarenavirus,Arenaviridae
NC_002797.1,Discula destructiva virus 1,Gammapartitivirus,Partitiviridae
NC_055899.1,Burzaovirus faecalis,Burzaovirus,Suoliviridae
NC_048629.1,Capvunavirus CpV1,Capvunavirus,Guelinviridae
NC_010670.1,Cypovirus 5,Cypovirus,Spinareoviridae
NC_076381.1,Penicillium penoulivirus,Penoulivirus,Botourmiaviridae
NC_076604.1,Duamitovirus fubo1,Duamitovirus,Mitoviridae
NC_008991.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_043123.1,Luteovirus kertrihordei,Luteovirus,Tombusviridae
NC_077806.1,Mammarenavirus choriomeningitidis,Mammarenavirus,Arenaviridae
NC_007637.1,Vectrevirus K1E,Vectrevirus,Autographiviridae
NC_076363.1,Gemygorvirus hydro1,Gemygorvirus,Genomoviridae
NC_055206.1,Orthobunyavirus tahynaense,Orthobunyavirus,Peribunyaviridae
NC_055445.1,Hartmanivirus turici,Hartmanivirus,Arenaviridae
NC_038344.1,Alphatorquevirus homin29,Alphatorquevirus,Anelloviridae
NC_040493.1,Uukuvirus kaisodiense,Uukuvirus,Phenuiviridae
NC_001586.1,Alphapapillomavirus 1,Alphapapillomavirus,Papillomaviridae
NC_055420.1,Phlebovirus icoaraciense,Phlebovirus,Phenuiviridae
NC_020066.1,Alphapolyomavirus secomartiensseni,Alphapolyomavirus,Polyomaviridae
NC_020084.1,Dyoiotapapillomavirus 2,Dyoiotapapillomavirus,Papillomaviridae
NC_011217.1,Sulfolobus spindle-shaped virus 5,Alphafusellovirus,Fuselloviridae
NC_013396.1,Epizootic hemorrhagic disease virus,Orbivirus,Sedoreoviridae
NC_026423.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_055718.1,Mosigvirus c120,Mosigvirus,Straboviridae
NC_077196.1,Dipodfec virus UA23Rod_1805,Cyclovirus,Circoviridae
NC_028239.1,Ephemerovirus koolpinyah,Ephemerovirus,Rhabdoviridae
NC_076692.1,Alphabaculovirus dijunonis,Alphabaculovirus,Baculoviridae
NC_019911.2,Pokrovskaiavirus pv8018,Pokrovskaiavirus,Autographiviridae
NC_030751.1,Wuhivirus insecti,Wuhivirus,Phasmaviridae
NC_008956.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_004812.1,Simplexvirus macacinealpha1,Simplexvirus,Orthoherpesviridae
NC_024704.1,Cladosporium cladosporioides polymycovirus 1,Polymycovirus,Polymycoviridae
NC_030663.1,Emaravirus toordali,Emaravirus,Fimoviridae
NC_038324.1,Melon yellowing-associated virus,Carlavirus,Betaflexiviridae
NC_023882.1,Dyochipapillomavirus 1,Dyochipapillomavirus,Papillomaviridae
NC_003704.1,Eyach coltivirus,Coltivirus,Spinareoviridae
NC_076725.1,Trichoderma harzianum hypovirus 1,Hypovirus,Hypoviridae
NC_043292.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_008859.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_012126.1,Sigmatorquevirus otari1,Sigmatorquevirus,Anelloviridae
NC_014073.1,Torque teno virus 28,Alphatorquevirus,Anelloviridae
NC_043561.1,Orthobunyavirus leanyerense,Orthobunyavirus,Peribunyaviridae
NC_078080.1,Phlebovirus penablancaense,Phlebovirus,Phenuiviridae
NC_006013.2,Bluetongue virus,Orbivirus,Sedoreoviridae
NC_015132.1,Avian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_047938.1,Warwickvirus SECphi27,Warwickvirus,Drexlerviridae
NC_021856.1,Nitunavirus NIT1,Nitunavirus,Herelleviridae
NC_076039.1,Shanbavirus A,Shanbavirus,Picornaviridae
NC_007015.1,Ovine enzootic nasal tumor virus,Betaretrovirus,Retroviridae
NC_078309.1,Orthophasmavirus niuklukense,Orthophasmavirus,Phasmaviridae
NC_078698.1,Mammarenavirus kwanzaense,Mammarenavirus,Arenaviridae
NC_028760.1,Webervirus KLPN1,Webervirus,Drexlerviridae
NC_037057.1,Dishui lake phycodnavirus 1,Prasinovirus,Phycodnaviridae
NC_076843.1,Sclerotimonavirus alphabotrytidis,Sclerotimonavirus,Mymonaviridae
NC_054936.1,Tequatrovirus sgallinarium,Tequatrovirus,Straboviridae
NC_044955.1,African swine fever virus,Asfivirus,Asfarviridae
NC_003836.1,Tomato aspermy virus,Cucumovirus,Bromoviridae
NC_026663.1,Alphatorquevirus cerco1,Alphatorquevirus,Anelloviridae
NC_074111.1,Tahluvirus peladaptatum,Tahluvirus,Fiersviridae
NC_070660.1,Streptococcus phage CHPC1036,Moineauvirus,Aliceevansviridae
NC_010314.1,Abaca bunchy top virus,Babuvirus,Nanoviridae
NC_055764.1,Skysandvirus skysand,Skysandvirus,Zierdtviridae
NC_025834.1,Switchgrass mosaic-associated virus,Mastrevirus,Geminiviridae
NC_025217.1,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,Coronaviridae
NC_025366.1,Ustilaginoidea virens RNA virus L,Victorivirus,Totiviridae
NC_015521.1,Piscihepevirus heenan,Piscihepevirus,Hepeviridae
NC_043596.1,Orthobunyavirus utingaense,Orthobunyavirus,Peribunyaviridae
NC_035185.1,Bocaparvovirus ungulate8,Bocaparvovirus,Parvoviridae
NC_043325.1,Bracoviriform facetosae,Bracoviriform,Polydnaviriformidae
NC_005948.1,Villovirus Vf33,Villovirus,Inoviridae
NC_022071.1,Mycobacterium phage Crossroads,Faithunavirus,Vilmaviridae
NC_024909.1,Gemykrogvirus carib1,Gemykrogvirus,Genomoviridae
NC_029070.1,Cronosvirus DevCD23823,Cronosvirus,Autographiviridae
NC_039003.1,Malachra yellow mosaic virus,Begomovirus,Geminiviridae
NC_009021.1,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae
NC_007538.1,Rosellinia necatrix virus 1,Betapartitivirus,Partitiviridae
NC_006056.1,Nepovirus arabis,Nepovirus,Secoviridae
NC_078932.1,Orthobunyavirus bakauense,Orthobunyavirus,Peribunyaviridae
NC_032541.1,Crustavirus beihaiense,Crustavirus,Nyamiviridae
NC_038945.1,Wound tumor virus,Phytoreovirus,Sedoreoviridae
NC_075300.1,Rodent stool-associated circular genome virus,Glamdringvirus,Vilyaviridae
NC_040630.1,Blackberry virus A,Vitivirus,Betaflexiviridae
NC_011805.1,Gossypium punctatum mild leaf curl virus,Begomovirus,Geminiviridae
NC_070718.1,Streptococcus phage SW3,Moineauvirus,Aliceevansviridae
NC_000939.2,Aureusvirus aurei,Aureusvirus,Tombusviridae
NC_047953.1,Phikmvvirus pv130113,Phikmvvirus,Autographiviridae
NC_033423.1,Lymphocystis disease virus Sa,Lymphocystivirus,Iridoviridae
NC_043613.1,Orthobunyavirus enseadaense,Orthobunyavirus,Peribunyaviridae
NC_031459.1,Malvastrum bright yellow mosaic virus,Begomovirus,Geminiviridae
NC_015050.1,Pepper vein yellows virus,Polerovirus,Solemoviridae
NC_025839.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_031027.1,Wphvirus megatron,Wphvirus,Herelleviridae
NC_038430.1,Hepacivirus macronycteridis,Hepacivirus,Flaviviridae
NC_005032.1,Tomato leaf curl Philippines virus,Begomovirus,Geminiviridae
NC_038589.1,Eubenangee virus,Orbivirus,Sedoreoviridae
NC_073828.1,Qeihnovirus lutivicinum,Qeihnovirus,Atkinsviridae
NC_078646.1,Quaranjavirus tyulekense,Quaranjavirus,Orthomyxoviridae
NC_038482.1,Gemycircularvirus odona1,Gemycircularvirus,Genomoviridae
NC_047969.1,Przondovirus KP32i194,Przondovirus,Autographiviridae
NC_070667.1,Streptococcus phage CHPC1148,Moineauvirus,Aliceevansviridae
NC_023584.1,Acionnavirus monteraybay,Acionnavirus,Kyanoviridae
NC_073839.1,Scloravirus humicola,Scloravirus,Atkinsviridae
NC_022002.1,Grapevine red blotch virus,Grablovirus,Geminiviridae
NC_076224.1,Sigmatorquevirus otari2,Sigmatorquevirus,Anelloviridae
NC_074623.1,Gredihovirus neochorenecus,Gredihovirus,Steitzviridae
NC_023860.1,Copiparvovirus ungulate4,Copiparvovirus,Parvoviridae
NC_001722.1,Human immunodeficiency virus 2,Lentivirus,Retroviridae
NC_040568.1,Mume virus A,Capillovirus,Betaflexiviridae
NC_054943.1,Tequatrovirus fps2,Tequatrovirus,Straboviridae
NC_024772.1,Porcine associated porprismacovirus 5,Porprismacovirus,Smacoviridae
NC_076997.1,Ornithogalum mosaic virus,Potyvirus,Potyviridae
NC_003765.1,Rice dwarf virus,Phytoreovirus,Sedoreoviridae
NC_023732.1,Faithunavirus rumpelstiltskin,Faithunavirus,Vilmaviridae
NC_043102.1,Mamastrovirus 18,Mamastrovirus,Astroviridae
NC_035453.1,Actinidia virus 1,Olivavirus,Closteroviridae
NC_055827.1,Bronvirus dirkdirk,Bronvirus,Vilmaviridae
NC_010252.1,Mammarenavirus cupixiense,Mammarenavirus,Arenaviridae
NC_007670.1,Aedes pseudoscutellaris reovirus,Dinovernavirus,Spinareoviridae
NC_077201.1,Army ant associated cyclovirus 4,Cyclovirus,Circoviridae
NC_006383.2,Morbillivirus caprinae,Morbillivirus,Paramyxoviridae
NC_008937.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_006001.1,St Croix River virus,Orbivirus,Sedoreoviridae
NC_003542.1,Cowpea chlorotic mottle virus,Bromovirus,Bromoviridae
NC_076405.1,Cyclovirus roedor,Cyclovirus,Circoviridae
NC_074542.1,Weheuvirus terradaptatum,Weheuvirus,Steitzviridae
NC_023503.1,Brussowvirus 20617,Brussowvirus,Aliceevansviridae
NC_007544.1,Rotavirus C,Rotavirus,Sedoreoviridae
NC_010248.1,Mammarenavirus oliverosense,Mammarenavirus,Arenaviridae
NC_007549.1,Rotavirus H,Rotavirus,Sedoreoviridae
NC_021928.1,Orthorubulavirus hominis,Orthorubulavirus,Paramyxoviridae
NC_003734.1,Rice black streaked dwarf virus,Fijivirus,Spinareoviridae
NC_076890.1,Angainorvirus turin,Angainorvirus,Nenyaviridae
NC_044047.1,Norwalk virus,Norovirus,Caliciviridae
NC_038617.1,Warrego virus,Orbivirus,Sedoreoviridae
NC_029801.1,Porcine picobirnavirus,Picobirnavirus,Picobirnaviridae
NC_043158.1,Pleione virus Y,Potyvirus,Potyviridae
NC_047887.1,Hongcheonvirus DUPPV,Hongcheonvirus,Demerecviridae
NC_078647.1,Iflavirus achedomestici,Iflavirus,Iflaviridae
NC_026623.1,Orthoflavivirus cacipacoreense,Orthoflavivirus,Flaviviridae
NC_047809.1,Vectrevirus kay,Vectrevirus,Autographiviridae
NC_074288.1,Cohrdavirus arvadaptatum,Cohrdavirus,Steitzviridae
NC_004912.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_038455.1,Sauropus leaf curl virus,Begomovirus,Geminiviridae
NC_048079.1,Teseptimavirus C5,Teseptimavirus,Autographiviridae
NC_001542.1,Lyssavirus rabies,Lyssavirus,Rhabdoviridae
NC_038282.1,Tibrovirus alphaekpoma,Tibrovirus,Rhabdoviridae
NC_055172.1,Actinovirus lophii,Actinovirus,Hantaviridae
NC_011590.1,Pepper chat fruit viroid,Pospiviroid,Pospiviroidae
NC_071038.1,Salmonella phage vB_STy-RN29,Tequintavirus,Demerecviridae
NC_038674.1,Rio Negro virus,Alphavirus,Togaviridae
NC_038775.1,Rice stripe necrosis virus,Benyvirus,Benyviridae
NC_003433.1,Salmon pancreas disease virus,Alphavirus,Togaviridae
NC_038636.1,Aquareovirus E,Aquareovirus,Spinareoviridae
NC_002169.1,Spodoptera exigua multiple nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
NC_055358.1,Phlebovirus odrenisrouense,Phlebovirus,Phenuiviridae
NC_043389.1,Ophiovirus ranunculi,Ophiovirus,Aspiviridae
NC_074342.1,Gredihovirus terradaptatum,Gredihovirus,Steitzviridae
NC_049388.1,Peduovirus P24C9,Peduovirus,Peduoviridae
NC_031087.1,Jiaodavirus kpv477,Jiaodavirus,Straboviridae
NC_074152.1,Fahrmivirus limadaptatum,Fahrmivirus,Solspiviridae
NC_010791.1,Tomato leaf curl Hsinchu virus,Begomovirus,Geminiviridae
NC_018833.1,Zea mosaic virus,Potyvirus,Potyviridae
NC_076380.1,Cladosporium magoulivirus 1,Magoulivirus,Botourmiaviridae
NC_043520.1,Alphabaculovirus lonobliquae,Alphabaculovirus,Baculoviridae
NC_014968.1,Sweet potato leaf curl Uganda virus,Begomovirus,Geminiviridae
